IPO 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,15,Vroom,VRM,09/06/2020,21.3,"$22,00","$47,90","$58,13","164,23%","12,00%",93,,"$33,26","51,18%"
,16,Burning Rock Biotech,BNR,12/06/2020,13.5,"$16,50","$24,63","$20,08","21,70%","47,00%",93,,"$26,26","59,15%"
,17,Avidity Biosciences,RNA,12/06/2020,12,"$18,00","$28,50","$33,49","86,06%","44,50%",93,,"$33,32","85,11%"
,18,Royalty Pharma,RPRX,16/06/2020,70,"$28,00","$44,50","$40,61","45,04%","26,50%",93,,"$44,70","59,64%"
,19,Forma Therapeutics Holdings,FMTX,19/06/2020,13.9,"$20,00","$39,00","$45,29","126,50%","9,00%",93,,"$51,08","155,40%"
,20,Repare Therapeutics,RPTX,19/06/2020,11.00,"$20,00",$30.80,"$32,99","64,95%","36,00%",93,,"$37,11","85,55%"
,21,"Agora, Inc.",API,26/06/2020,17.5,"$20,00","$50,50","$44,84","116,65%","21,00%",93,,"$43,33","116,65%"
,22,Albertsons Companies,ACI,26/06/2020,65.8,"$16,00","$15,45","$13,72","-14,25%","94,50%",93,,"$14,86","-7,13%"
,23,Fusion Pharmaceuticals,FUSN,26/06/2020,12.5,"$17,00","$17,00","$11,85","-29,71%","89,50%",93,,"$12,08","-28,94%"
,,,,,,,,,,,,,,
,,,,,,,,,Средняя доходность,Средняя аллокация,,,,
,,,,,,,,,"75,69%","48,00%",,,,
,,,,,,,,,,,,,,
I квартал,№,Компания,Тикер,Дата IPO,"Кол-во акций 
(млн)",Цена IPO,"Цена закрытия
 1-го дня","Текущая
цена","Доходность
(по итогам завершения
 lock up-периода)",Аллокация,"Дата завершения
lock up-периода",,"Текущая
цена( после 93 дней )","Результат на
текущую дату"
,1,1 Life Healthcare,ONEM,31/01/2020,17.5,"$14,00","$22,07","$37,00","80,00%","74,00%",06/05/2020,,"$37,00","164,29%"
,2,Schrodinger,SDGR,06/02/2020,11.9,"$17,00","$28,64","$66,21","222,94%","65,00%",11/05/2020,,"$66,21","289,47%"
,3,PPD,PPD,06/02/2020,28.2,"$27,00","$30,00","$34,65","1,81%","80,00%",11/05/2020,,"$34,65","28,33%"
,4,Revolution Medicines,RVMD,13/02/2020,14,"$17,00","$28,90","$41,71","121,15%","65,00%",18/05/2020,,"$41,71","145,35%"
,5,Passage BIO,PASG,28/02/2020,12,"$18,00","$22,20","$27,72","43,06%","98,00%",03/06/2020,,"$27,72","54,00%"
,,,,,,,,,Средняя доходность,Средняя аллокация,,,,
,,,,,,,,,"93,79%","76,40%",,,,
